Open,High,Low,Close,Volume,
1.10926,1.11804,1.10787,1.11106,172103,
1.11108,1.12075,1.10011,1.10102,174312,
1.10048,1.10086,1.09579,1.09770,63921,
1.09767,1.09804,1.08624,1.08736,178437,
1.08737,1.09281,1.08186,1.09033,179001,
1.09032,1.09578,1.08660,1.09468,197469,
1.09467,1.10054,1.09247,1.09908,173636,
1.09795,1.09878,1.08861,1.09255,159923,
1.09256,1.11924,1.09148,1.11494,215640,
1.11496,1.12840,1.10782,1.12728,219267,
1.12727,1.13789,1.12214,1.12371,211719,
1.12369,1.12824,1.10483,1.11160,222883,
1.10965,1.13057,1.10832,1.12902,183570,
1.12903,1.13446,1.12130,1.12814,197940,
1.12815,1.13856,1.12589,1.13217,228626,
1.13218,1.13305,1.11807,1.12571,186185,
1.12568,1.12946,1.11501,1.12649,195396,
1.12101,1.12934,1.11873,1.12836,163318,
1.12829,1.13286,1.12052,1.12465,149380,
1.12466,1.13569,1.12042,1.13361,187414,
1.13362,1.14353,1.13294,1.13580,198598,
1.13570,1.14003,1.12908,1.13479,142448,
1.13760,1.14092,1.13108,1.13391,146041,
1.13388,1.13463,1.11338,1.11667,170182,
1.11665,1.12336,1.11535,1.12022,163915,
1.12029,1.12269,1.11527,1.12023,139401,
1.12029,1.12188,1.11289,1.11724,128573,
1.10049,1.12773,1.09534,1.12344,282808,
1.12345,1.12433,1.11113,1.11467,195364,
1.11458,1.11704,1.10417,1.10521,154396,
1.10519,1.11204,1.10311,1.10827,136727,
1.10829,1.11167,1.10640,1.11133,92688,
1.09917,1.10947,1.09685,1.10548,183530,
1.10550,1.10577,1.09148,1.10096,202439,
1.10100,1.10919,1.09730,1.10750,200086,
1.10751,1.11242,1.09905,1.10352,174717,
1.10353,1.12150,1.10296,1.11589,203001,
1.10935,1.11958,1.09944,1.10010,194568,
1.09989,1.10845,1.09642,1.10090,165421,
1.10092,1.10346,1.09288,1.09448,160486,
1.09463,1.09616,1.08543,1.08750,157230,
1.08741,1.09058,1.08274,1.08279,128114,
1.08304,1.08681,1.08074,1.08239,120561,
1.08238,1.09684,1.08106,1.09341,143072,
1.09337,1.09662,1.08686,1.09275,139559,
1.09274,1.10174,1.09211,1.09848,143118,
1.09862,1.09952,1.09246,1.09771,121385,
1.09798,1.11283,1.09683,1.10866,151449,
1.10874,1.10986,1.10209,1.10590,124885,
1.10591,1.10830,1.09658,1.09820,154086,
1.09824,1.09882,1.08923,1.09301,138740,
1.09302,1.11131,1.09201,1.09833,180137,
1.09734,1.09949,1.09401,1.09495,122836,
1.09494,1.09869,1.08781,1.08797,133468,
1.08798,1.09363,1.08470,1.09040,145481,
1.09041,1.09428,1.08718,1.09242,118832,
1.09243,1.09773,1.08542,1.09653,147513,
1.09639,1.10404,1.09242,1.10181,119022,
1.10180,1.10878,1.09596,1.10408,167240,
1.10410,1.12130,1.10231,1.11561,182480,
1.11566,1.11879,1.10789,1.11491,141084,
1.11492,1.11876,1.10968,1.11085,125239,
1.11188,1.11238,1.10577,1.10784,114355,
1.10777,1.10927,1.10160,1.10236,102884,
1.10251,1.11332,1.10166,1.11206,159187,
1.11199,1.12437,1.11061,1.12415,158915,
1.12413,1.13881,1.12283,1.13864,196156,
1.13779,1.17153,1.13686,1.16172,412726,
1.16179,1.16210,1.13951,1.15144,330841,
1.15149,1.15603,1.12907,1.13124,315041,
1.13123,1.13634,1.12019,1.12441,215955,
1.12472,1.13087,1.11546,1.11834,169095,
1.11725,1.12615,1.11695,1.12094,139284,
1.12097,1.13311,1.12072,1.13147,211896,
1.13146,1.13185,1.12154,1.12251,167592,
1.12256,1.12424,1.10862,1.11216,178515,
1.11218,1.11888,1.10881,1.11469,172475,
1.11639,1.11766,1.11207,1.11687,110392,
1.11689,1.12285,1.11513,1.12014,143028,
1.12015,1.12152,1.11307,1.12059,150650,
1.12060,1.12944,1.11705,1.12779,184789,
1.12782,1.13485,1.12531,1.13370,155328,
1.13318,1.13721,1.12825,1.13155,111294,
1.13154,1.13278,1.12577,1.12686,109636,
1.12684,1.13195,1.12130,1.12919,98257,
1.12906,1.14402,1.12832,1.14310,202450,
1.14331,1.14592,1.12683,1.12969,179998,
1.12828,1.13290,1.11801,1.11887,143550,
1.11886,1.12070,1.11127,1.11194,137790,
1.11195,1.12125,1.11046,1.11843,160161,
1.11848,1.12948,1.11634,1.12288,172807,
1.12296,1.12331,1.11151,1.12011,170901,
1.11863,1.12467,1.11451,1.12437,153247,
1.12434,1.12802,1.11928,1.12482,162341,
1.12480,1.12603,1.11562,1.11753,146926,
1.11749,1.12080,1.11339,1.11964,131978,
1.11935,1.13175,1.11493,1.12097,197270,
1.12194,1.12882,1.11723,1.11869,166412,
1.11870,1.12785,1.11710,1.12706,131750,
1.12707,1.12834,1.12104,1.12364,150641,
1.12365,1.13263,1.12335,1.12754,150398,
1.12748,1.13864,1.12661,1.13592,156805,
1.13605,1.13958,1.13537,1.13570,100482,
1.13569,1.14099,1.13430,1.13780,121911,
1.13779,1.14879,1.13766,1.14730,142380,
1.14727,1.14941,1.13621,1.13894,167940,
1.13825,1.13952,1.13332,1.13483,122770,
1.13588,1.13780,1.13045,1.13249,137368,
1.13253,1.13860,1.13229,1.13438,104310,
1.13437,1.13764,1.13328,1.13378,109515,
1.13377,1.13501,1.10990,1.11074,204897,
1.11073,1.11386,1.09955,1.10123,194402,
1.10014,1.10672,1.10006,1.10565,133870,
1.10564,1.10776,1.10292,1.10488,125017,
1.10487,1.10947,1.08958,1.09223,186333,
1.09222,1.09849,1.09011,1.09768,166747,
1.09769,1.10715,1.09645,1.10017,194423,
1.10356,1.10519,1.09993,1.10156,118188,
1.10157,1.10289,1.09347,1.09628,117444,
1.09631,1.09669,1.08430,1.08643,151981,
1.08642,1.08967,1.08325,1.08831,145032,
1.08828,1.08927,1.07047,1.07372,153748,
1.07288,1.07889,1.07180,1.07501,133164,
1.07502,1.07629,1.06732,1.07232,134333,
1.07230,1.07726,1.07044,1.07423,125239,
1.07415,1.08296,1.06900,1.08126,193978,
1.08128,1.08160,1.07130,1.07619,162172,
1.07398,1.07571,1.06734,1.06854,150829,
1.06855,1.06897,1.06296,1.06407,145985,
1.06406,1.06915,1.06158,1.06586,136772,
1.06585,1.07619,1.06543,1.07330,166079,
1.07331,1.07373,1.06391,1.06418,137287,
1.06370,1.06557,1.05913,1.06354,140710,
1.06353,1.06723,1.06185,1.06419,142335,
1.06420,1.06882,1.05647,1.06239,167822,
1.06236,1.06264,1.05989,1.06093,87658,
1.06092,1.06369,1.05673,1.05918,106502,
1.05880,1.05940,1.05568,1.05632,113851,
1.05635,1.06360,1.05621,1.06311,130014,
1.06314,1.06358,1.05496,1.06134,152228,
1.06136,1.09798,1.05208,1.09386,275209,
1.09387,1.09551,1.08351,1.08825,264536,
1.08708,1.08862,1.07950,1.08363,149202,
1.08359,1.08997,1.08291,1.08886,163824,
1.08887,1.10413,1.08774,1.10237,206795,
1.10246,1.10246,1.09238,1.09398,165164,
1.09397,1.10297,1.09255,1.09887,194167,
1.09832,1.10476,1.09444,1.09906,200381,
1.09905,1.10586,1.09035,1.09290,178426,
1.09294,1.09997,1.08870,1.09109,237352,
1.09108,1.09135,1.08018,1.08250,175569,
1.08249,1.08734,1.08038,1.08621,188131,
1.08529,1.09381,1.08469,1.09136,133378,
1.09138,1.09830,1.09013,1.09554,121919,
1.09555,1.09559,1.08687,1.09095,102618,
1.09094,1.09663,1.09028,1.09517,64083,
1.09525,1.09914,1.09525,1.09664,80670,
1.09654,1.09915,1.08988,1.09195,97754,
1.09194,1.09436,1.09017,1.09317,101268,
1.09320,1.09369,1.08527,1.08648,74852,
1.08726,1.09462,1.07810,1.08306,179691,
1.08300,1.08387,1.07105,1.07481,131385,
1.07478,1.08002,1.07188,1.07819,159221,
1.07818,1.09389,1.07719,1.09309,202154,
1.09313,1.09326,1.08036,1.09245,210668,
1.09178,1.09690,1.08466,1.08577,166179,
1.08579,1.08991,1.08185,1.08570,153168,
1.08569,1.08867,1.08038,1.08762,162827,
